ENTREZ,Sample,CellType,Rep,counts,count_total
435,ORTHO_1,ORTHO,1,151,877
440,ORTHO_1,ORTHO,1,2520,3323
443,ORTHO_1,ORTHO,1,0,9
444,ORTHO_1,ORTHO,1,151,2495
445,ORTHO_1,ORTHO,1,15,222
460,ORTHO_1,ORTHO,1,0,102
462,ORTHO_1,ORTHO,1,0,102
463,ORTHO_1,ORTHO,1,118,1925
466,ORTHO_1,ORTHO,1,480,1629
467,ORTHO_1,ORTHO,1,402,5056
468,ORTHO_1,ORTHO,1,6132,21313
471,ORTHO_1,ORTHO,1,771,3488
472,ORTHO_1,ORTHO,1,628,2894
473,ORTHO_1,ORTHO,1,783,7633
475,ORTHO_1,ORTHO,1,83,868
476,ORTHO_1,ORTHO,1,3453,14023
477,ORTHO_1,ORTHO,1,3,44
478,ORTHO_1,ORTHO,1,121,266
479,ORTHO_1,ORTHO,1,0,21
480,ORTHO_1,ORTHO,1,5,26
481,ORTHO_1,ORTHO,1,18,3006
482,ORTHO_1,ORTHO,1,1392,3284
483,ORTHO_1,ORTHO,1,1454,5459
486,ORTHO_1,ORTHO,1,0,65
487,ORTHO_1,ORTHO,1,33,84
488,ORTHO_1,ORTHO,1,1118,8841
489,ORTHO_1,ORTHO,1,153,6814
490,ORTHO_1,ORTHO,1,1263,4451
491,ORTHO_1,ORTHO,1,1,17
492,ORTHO_1,ORTHO,1,0,10
493,ORTHO_1,ORTHO,1,3585,12392
350,CD34_2,CD34,2,103,307
351,CD34_2,CD34,2,10476,26580
353,CD34_2,CD34,2,1188,2471
355,CD34_2,CD34,2,139,569
356,CD34_2,CD34,2,0,2
357,CD34_2,CD34,2,177,560
358,CD34_2,CD34,2,597,7445
359,CD34_2,CD34,2,1,13
360,CD34_2,CD34,2,46,1982
361,CD34_2,CD34,2,0,1
362,CD34_2,CD34,2,15,19
363,CD34_2,CD34,2,4,25
364,CD34_2,CD34,2,1,8
366,CD34_2,CD34,2,1,7
367,CD34_2,CD34,2,51,94
369,CD34_2,CD34,2,833,3549
372,CD34_2,CD34,2,2741,8205
373,CD34_2,CD34,2,148,1850
374,CD34_2,CD34,2,138,221
375,CD34_2,CD34,2,4970,20423
377,CD34_2,CD34,2,2576,6071
378,CD34_2,CD34,2,1767,11426
